department_code,course_code,metu_credit,ects_credit,prerequisites,course_name,year,semester
SNG,3890492,7(1-4),7,3890491,SNG492 SOFTWARE ENGINEERING SENIOR PROJECT II,4,8
SNG,,,5,,Restricted Elective,4,8
SNG,,,5,,Technical Elective,4,8
SNG,,,5,,Technical Elective,4,8
SNG,,,5,,Non-Technical Elective,4,8
SNG,,,5,,Free Elective,4,8
INE,3580105,6.5(3-2),6.5,,PHY105 GENERAL PHYSICS I,1,1
INE,3600107,6(3-2),6,,CHM107 GENERAL CHEMISTRY,1,1
INE,3570119,7.5(4-2),7.5,3570100,MAT119 CALCULUS WITH ANALYTIC GEOMETRY,1,1
INE,3550240,4(2-2),4,,CNG240 PROGRAMMING WITH PYTHON FOR ENGINEERS,1,1
INE,3590101,6(4-0),6,,ENGL101 DEVELOPMENT OF READING AND WRITING SKILLS I,1,1
INE,3870101,2(0-0),2,,OCHS101 OCCUPATIONAL HEALTH AND SAFETY-I,1,1
INE,3530100,2(1-0),2,,BUS100 CAREER PLANNING,1,2
INE,3580106,6.5(3-2),6.5,,PHY106 GENERAL PHYSICS II,1,2
INE,3570120,7.5(4-2),7.5,"3570119,2360119,2360117",MAT120 CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES,1,2
INE,3570260,5(3-0),5,,MAT260 BASIC LINEAR ALGEBRA,1,2
INE,3880102,3(2-0),3,,INE102 INDUSTRIAL ENGINEERING ORIENTATION,1,2
INE,3650113,4.5(2-2),4.5,,MECH113 COMPUTER AIDED ENGINEERING DRAWING I,1,2
INE,3590102,6(4-0),6,"3590101,6390101",ENGL102 DEVELOPMENT OF READING AND WRITING SKILLS II,1,2
INE,3780100,0(0-2),0,,GPC100 FIRST YEAR ON CAMPUS SEMINAR,1,2
INE,3520210,5(3-0),5,,ECO210 PRINCIPLES OF ECONOMICS,2,3
INE,3570219,7(4-0),7,3570120,MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS,2,3
INE,3880241,5(3-0),5,,INE241 FINANCIAL AND MANAGERIAL ACCOUNTING FOR ENGINEERS,2,3
INE,3880251,5(3-0),5,3570260,INE251 LINEAR PROGRAMMING,2,3
INE,3880265,5(3-0),5,3570120,INE265 INTRODUCTION TO PROBABILITY,2,3
INE,3650202,6(3-2),6,,MECH202 MANUFACTURING TECHNOLOGIES,2,3
INE,3620201,2(2-0),2,,HST201,2,3
INE,3880252,5(3-0),5,3880251,INE252 NETWORK FLOWS AND INTEGER PROGRAMMING,2,4
INE,3880266,5(4-0),5,3880265,INE266 ENGINEERING STATISTICS,2,4
INE,3650227,5(3-0),5,3600107,MECH227 ENGINEERING MATERIALS,2,4
INE,3590211,4(3-0),4,"3590101,3590102,6390101,6390102",ENGL211 ACADEMIC ORAL PRESENTATION SKILLS,2,4
INE,3620202,2(2-0),2,"2402201,3620201",HST202,2,4
INE,,,5,,Non-Technical Elective,2,4
INE,,,5,,Restricted Elective,2,4
INE,3880300,1(0-0),1,"3870101,3880102,3880241,3880251,3880252,3880265,3880266",INE300 SUMMER PRACTICE,3,5
INE,3880323,5(3-0),5,"3880251,3880265",INE323 PRODUCTION AND SERVICE OPERATIONS PLANNING I,3,5
INE,3880333,5(3-0),5,,INE333 WORK SYSTEMS ANALYSIS AND DESIGN,3,5
INE,3880347,5(3-0),5,,INE347 ENGINEERING ECONOMY,3,5
INE,3880361,5(3-0),5,3880265,INE361 STOCHASTIC MODELS IN OPERATIONS RESEARCH,3,5
INE,3610101,2(2-0),2,,TUR101 TURKISH I,3,5
INE,3880304,5(3-0),5,,INE304 PRODUCTION AND SERVICE INFORMATION SYSTEMS,3,6
INE,3880324,5(3-0),5,3880323,INE324 PRODUCTION AND SERVICE OPERATIONS PLANNING,3,6
INE,3880368,5(3-0),5,3880265,INE368 QUALITY PLANNING AND CONTROL,3,6
INE,3880372,5(3-0),5,"3550240,3880265",INE372 SIMULATION,3,6
INE,3870301,2(0-0),2,,OCHS301 OCCUPATIONAL HEALTH AND SAFETY - II,3,6
INE,3610102,2(2-0),2,3610101,TUR102 TURKISH II,3,6
INE,3880400,1(0-0),1,"3880252,3880300,3880304,3880323,3880324,3880333",INE400 SUMMER PRACTICE II,4,7
INE,3880404,5(3-0),5,,INE404 MANAGEMENT FOR ENGINEERS,4,7
INE,3880422,1(2-0),1,,INE422 SEMINAR IN INDUSTRIAL ENGINEERING,4,7
INE,3880489,5(3-0),5,3880251,INE489 SYSTEMS THINKING,4,7
INE,3880497,5(3-1),5,,INE497 SYSTEMS DESIGN I,4,7
INE,,,5,,Technical Elective,4,7
INE,,,5,,Technical Elective,4,7
INE,,,5,,Non-Technical Elective,4,7
INE,3880498,5(3-1),5,3880497,INE498 SYSTEMS DESIGN II,4,8
INE,,,5,,Technical Elective,4,8
INE,,,5,,Technical Elective,4,8
INE,,,5,,Non-Technical Elective,4,8
INE,,,5,,Free Elective,4,8
